Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Cash & Guns,D4,,,,,ok,23-julio,,1,,,,1,,,,,,2,,,,,,,,,,,,,,
Castillo Medieval,Novedades,26 ABR 2025,,,n,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Castle Combo,COL 2,24 MAY 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Castlecards,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Castles of Mad King Ludwig,H2,,,,,,,,,,3,2,2,1,,1,,,9,,,,,,,,,,,,,,
Cat in the box,COL 2,FEB 2024,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,
Cats,Z3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Caverna,E3,,,,,,,,,4,1,,2,,,,1,,8,,,,,,,,,,,,,,
Caverna: The Forgotten Folk – Halflings promo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavum,*,,,,,faltan 2 losetas,18-sept,1,1,,,,,,,,,,2,,,,,,,,,,,,,,
Caylus,E3,,,,,ok,11-agosto,,,,,1,1,,,,1,,3,,,,,,,,,,,,,,
Celestia,H6,,,,,,,,,,7,2,2,1,,1,1,,14,,,,,,,,,,,,,,
Century: Eine neue Welt (A New World),M4,MAR 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Century: La ruta de las especias,M4,,,,,,,,,,1,7,12,1,,,1,,22,,,,,,,,,,,,,,
Century: Maravillas del Oriente,M4,,,,,,,,,,,,4,1,1,,,,6,,,,,,,,,,,,,,
Cerbero,C3,,,,,,,,,,,,2,2,1,,,,5,,,,,,,,,,,,,,
Cerca y Lejos,B5,,,,,,,,,,,,,5,1,,,,6,,,,,,,,,,,,,,
Ceylon,H4,,,,,,,,,,,,1,2,,,1,,4,,,,,,,,,,,,,,
Change Horses,I4,,,,,ok,21-julio,,,,,,,,,,,,0,,,,,,,,,,,,,,
Checkpoint Charlie,COL 3,,,,,,,,,,1,,1,,1,,,,3,,,,,,,,,,,,,,
Chimera Station,F4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Chimere,H6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Chuches,COL 5,,,,,,,,,,,,2,,,1,1,,4,,,,,,,,,,,,,,
Churchill,C5,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
Cielos de Metal,H3,,,,,,,,,,,,,,,1,2,,3,,,,,,,,,,,,,,
Cities,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Citrus,D1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Citrus: New Landscape Tiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Blox,Ventas,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Ciudad Machi Koro,D2,,,,,,,1,5,,1,,2,1,5,3,,,18,,,,,,,,,,,,,,
Ciudad Machi Koro: Harbor Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudadelas,COL 1,,,,,ok,7-octubre,,,1,1,,,,,2,1,,5,,,,,,,,,,,,,,
Civolución,L6,MAY 2025,pestre,23 oct,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,
Claim,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Clank!: Catacumbas,E5,,Abelardoz,13 oct,,,,,,,,,,,,1,6,2,9,,,,,,,,,,,,,,
Clank!: ¡En el espacio!,E5,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Clank!: Una aventura de construccion de mazos,E5,,,,,,,,,,,,2,5,2,,,,9,,,,,,,,,,,,,,
Clans,D2,,,,,,,,1,1,,1,,,,,,,3,,,,,,,,,,,,,,
Claro,COL 3,FEB 2024,,,,,,,,,,,,,,,4,1,5,,,,,,,,,,,,,,
Clash of Cultures,K3,,,,,,,,1,1,,1,,,1,,1,,5,,,,,,,,,,,,,,
Clash of Decks: Starter Kit,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cleocatra,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cloud City,C3,14 JUN 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
CloudAge,F1,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Clout Fantasy,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cluedo: The Simpsons,Y1,,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,
CO2: Segunda Oportunidad,K6,,,,,,,,,,,,1,2,1,,,,4,,,,,,,,,,,,,,
Cocos Locos,Y4,,,,,,,,,,,1,2,,4,1,,1,9,,,,,,,,,,,,,,
Código Secreto,D4,,,,,ok,13-octubre,,,10,8,5,10,5,3,2,,1,44,,,,,,,,,,,,,,
Código Secreto,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código Secreto: Authors & Games     (2),D4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Código Secreto: Exp. Promocional Andalucía    (2),D4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Código Secreto 13+4,Y3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Código Secreto Duo,D4,,,,,ok,31/08/2025,,,,,2,4,,2,,1,1,10,,,,,,,,,,,,,,
Código Secreto: Imágenes,D4,,,,,,,,,,2,1,5,2,1,,,1,12,,,,,,,,,,,,,,
Codinca (PNP),COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Coimbra,G2,,,,,ok,,,,,,2,6,2,,1,1,,12,,,,,,,,,,,,,,
Colo Colorines,Y3,,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,
Colonial Space Wars: New Horizons,*,,,,,,,,2,1,,,,,,,,,3,,,,,,,,,,,,,,
Colonias Cósmicas,I4,ENE 2024,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Colonos de Catan,I1,,,,,,,,2,1,2,1,,1,,1,,2,10,,,,,,,,,,,,,,
Colonos de Catan,*,,,,X,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Colonos de Catan,*,,,,X,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Colonos de Catan: Edición Viaje,I1,,,,,ok,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Colonos de Catan: El auge de los Incas,I1,,,,,,,,,,,,2,,3,,,,5,,,,,,,,,,,,,,
Colonos de Catan (Mallorca),I1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Colonos de Catan (Península Ibérica),I1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Colonos de Catan: Ciudades y Caballeros,I1,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,
Colonos de Catan Deutchland Edition,I1,,,,,ok,23-julio,,,1,,,1,,,,,,2,,,,,,,,,,,,,,
Colonos de Catan Junior,Y2,,,,,tiena la ficha azul rota,20-septiembre,,1,2,,,1,,,,,,4,,,,,,,,,,,,,,
Colonos de Catan Junior 2014,Y2,,,,,,,,3,2,,,2,,,,,,7,,,,,,,,,,,,,,
Colonos de Catan: El juego de dados,COL 1,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Colonos de Catan: Navegantes,I1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Colonos del Imperio,H4,,,,,ok,1-agosto,,1,,1,3,2,5,,,,,12,,,,,,,,,,,,,,
Coloretto,COL 3,,,,,,,,1,,3,1,1,,1,,,2,9,,,,,,,,,,,,,,
Colors of Paris,J5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Colosseum,D1,,,,,sin ficha amarilla de punt.,30-agosto,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Colour Brain,D5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Colt Express,D3,,,,,falta 1 bolsa de 250$,26-diciembre,,3,,2,,,,1,2,1,,9,,,,,,,,,,,,,,
Combat Commander: Europa,C5,,,,,,,,,2,1,,,1,,,,,4,,,,,,,,,,,,,,
Combat Commander: Pacífico,C5,DIC 2023,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Come Nachos,P1,DIC 2023,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Comet,J3,FEB 2024,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,
Cometas,I6,DIC 2023,,,,ok,13/08/2025,,,,,,,,,,3,2,5,,,,,,,,,,,,,,
Commands & Colors: Edad Antigua,C5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
CON 5,Z2,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
Concerto,E6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Concordia,L3,,,,,ok,12-agosto,1,3,2,2,,2,4,,,,1,15,,,,,,,,,,,,,,
Concordia: Britannia & Germania,L3,,,,,ok,12-agosto,,1,1,,,2,,,,,,4,,,,,,,,,,,,,,
Concordia: Salsa,L3,,,,,,,,,1,,,2,2,,,,,5,,,,,,,,,,,,,,
Conex,Z2,,,,,,,,,,,,3,2,,,,,5,,,,,,,,,,,,,,
Conspiracy: Abyss Universe,COL 1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Constructorres,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Copenhagen,I4,,,,,,,,,,,,1,5,1,,1,,8,,,,,,,,,,,,,,
Copenhagen: Nyhavn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral,J2,,,,,,,,,,,,,,,,3,1,4,,,,,,,,,,,,,,
CoraQuest,Y6,FEB 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Cordoba,COL 1,,,,,ok,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,
Coup (PNP),N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Coup: Guatemala 1954,COL 4,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Coup Reforma,D5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Coup X,D5,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Covenant,*,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Coyote,D4,,,,,ok,7-octubre,,1,,1,3,1,,,1,3,2,12,,,,,,,,,,,,,,
Coyote (Asmodee 2025),Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cranium Zigity,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Crazy Clack!,Y4,,,,,falta 1 ficha,,,,,,5,1,,,1,,,7,,,,,,,,,,,,,,
Crazy Clack!,Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Eggz,P2,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Crazy Fishing,COL 4,,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,,
Crazy Food,Y5,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Crisis,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Crokinole,*,,,,,,,,2,1,,,,,,4,3,,10,,,,,,,,,,,,,,
Crokinole,*,,,,X,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Crónicas,COL 4,,,,,,,,,,2,,,1,,,2,,5,,,,,,,,,,,,,,
Crónicas de Avel,Z4,ABRIL 2024,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Crónicas del Crimen,G5,,Carlitosprrrrr,1 oct,,,,,,,,,2,8,1,,1,3,15,,,,,,,,,,,,,,
Crónicas del Crimen: Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crónicas del Crimen: The Virtual Reality Module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crónicas del Crimen: Bienvenido a Redview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown of Emara,F3,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Crypt,COL 0,8 AGO 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cryptid,G5,,,,,,,,,,,,4,4,1,1,1,2,13,,,,,,,,,,,,,,
Crystal Palace,F4,,,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,
Cthulhu Crusades,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cthulhu Cubes,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cthulhu Dados,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cthulhu: Death May Die,A5,20 NOV 2024,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Cuac!,COL 1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Cuba,H4,,,,,ok,27- enero,,1,1,,,1,,,,,,3,,,,,,,,,,,,,,
Cuba: Hazienda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba: Kanadische Botschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba: Sambachule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba: Spielcafé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubirds,COL 1,,,,,,,,,,,,12,4,1,1,1,,19,,,,,,,,,,,,,,
Cubitos,I4,,,,,,,,,,,,,,,2,2,1,5,,,,,,,,,,,,,,
Cucu Tras ¿qué hay detrás?,COL 7,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,
Cuentos de buenas noches para niñas rebeldes,Z5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cupcake Empire,H5,,,,,,,,,,,,6,3,2,,,1,12,,,,,,,,,,,,,,
Cuzco,I2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
CV,E0,,,,,,,,,,,,3,,,1,,,4,,,,,,,,,,,,,,
Cyberpunk 2077: Bandas de Night City,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
D-Day Dice,C6,,,,,,,,1,4,2,,2,,1,,,,10,,,,,,,,,,,,,,
Dados y Colonos,H4,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,
Dados y Colomos: Promo de Teotihuacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dados Zombie,P2,,,,,,,,,,3,,,,,,,1,4,,,,,,,,,,,,,,
Dados Zombie 2,P2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Daimyo: El Renacer del Imperio,L5,ABRIL 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Daitoshi,L5,16 DIC 2024,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Dakota,*,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Danger,COL 0,16 OCT 2024,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,
Darwin's Journey,L5,8 MAR 2025,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Das Fundament der Ewigkeit (La Columna de Fuego),B1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
De Flor en Flor,COL 7,20 NOV 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
De Vulgari Eloquentia,G1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Dead Cells: The Rogue-Lite Board Game,A5,15 SEP 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dead of Winter,B3,,,,,ok,26-junio,,5,3,,1,1,,,,,1,11,,,,,,,,,,,,,,
Death Over the Kingdom,E6,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Decktective: Rosas de sangre,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Deep Sea Adventure,COL 5,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Deja-Vu,D5,,,,,,,,,,2,5,,1,,1,,,9,,,,,,,,,,,,,,
Delicats,COL 7,FEB 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Demon Worker,COL 4,,,,,,,,,,,,2,,1,,,,3,,,,,,,,,,,,,,
Dentaday,Y5,,,,,,,,,,,,1,1,1,,,,3,,,,,,,,,,,,,,
Dentro del Laberinto,*,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Der Club der Verschwender (The Prodigals Club),F4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Descent Segunda Edición,A4,,,,,,,,1,1,3,1,,1,,1,,,8,,,,,,,,,,,,,,
Descubre ¿Quién robó en el gallinero?,Y5,,,,,,,,,,,,1,,1,1,,,3,,,,,,,,,,,,,,
Despistados en la granja,COL 7,FEB 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Destinies,A6,ABRIL 2024,Carlitosprrrrr,1 oct,,,,,,,,,,,,,6,4,10,,,,,,,,,,,,,,
Destinies: Mar de Arena,,30 AGO 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detecteam Family,COL 5,14 JUN 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Detective: Conexión Viena,G5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Detective: Un juego de investigación moderno,G5,,,,,,,,,,,,,3,2,1,1,1,8,,,,,,,,,,,,,,
Detective: Un juego de investigación moderno – Temporada 1,G5,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Detectives Paranormales,G5,,,,,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,,
Diamant,I5,,,,,,,,,,,4,6,4,2,,2,2,20,,,,,,,,,,,,,,
Días de Ira: Budapest 1956,C5,,,,,,,,,,4,2,,1,,,,,7,,,,,,,,,,,,,,
Diáspora,*,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Diavolo,P1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Dice Drivin',N4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dice Forge,C3,,,,,,,,,,2,4,1,,,,1,,8,,,,,,,,,,,,,,
Dice Hospital,H4,,,,,,,,,,,,4,1,,,,,5,,,,,,,,,,,,,,
Die Burgen von Burgund (Los Castillos de Borgoña),F3,,ericplacton,3 oct,,,,1,2,1,1,3,3,3,1,1,,1,17,,,,,,,,,,,,,,
Die BvB: 1st Exp. – New Player Boards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die BvB: 3rd Exp. – German Championship  2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die BvB: 7th Exp. – German Championship 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Speicherstadt,M2,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Die Staufer,F3,,,,,,6 noviembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Die Werft (Shipyard),F4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dino Bones,Y4,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Dino Path,Y1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Dino Race,Y4,,,,,,,,2,2,1,,1,,,1,1,,8,,,,,,,,,,,,,,
Diplomacy,E0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Director de Campaña 2008,B1,,,,,,,,3,1,,,,,,,,,4,,,,,,,,,,,,,,
Discordia,F5,2 AGO 2025,,,,ok,07/09/2025,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Discoveries: The Journals of Lewis & Clark,H3,,,,,,,,,3,,,1,1,,1,,,6,,,,,,,,,,,,,,
Disney Lorcana: Preludio,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Disney Villainous: Unstoppable!,Novedades,15 SEP 2025,Spider,23 oct,n,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Disney Villains: The Card Game,COL 4,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Distopia,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dive,J2,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
Divinare,E6,FEB 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dixit: Disney Edition,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dixit: Oddissey,D3,,,,,,,2,7,1,2,1,4,2,2,1,,1,23,,,,,,,,,,,,,,
Dobble,P1,,,,,falta 1 carta,21-julio,3,4,1,5,,,,,,1,,14,,,,,,,,,,,,,,
Dobble,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobble Cars,P1,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Dobble Super Mario,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dobble XXL,Y6,2 JUN 2023,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,
Dodo,Y2,,,,,,,,,,,,,,,1,3,1,5,,,,,,,,,,,,,,
Doggy Bag,I6,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Dojima,J6,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Dominant Species,F4,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Dominion,E5,,,,,,,,3,2,,,1,,,,2,1,9,,,,,,,,,,,,,,
Dominion: Edad Oscura,E5,,,,,ok,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Dominó Junior,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Doodle China,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Downforce,I4,,,,,,,,,,,,3,6,4,1,1,1,16,,,,,,,,,,,,,,
Downforce: Riesgo Extremo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drachendelta,C1,,,,,,15-septiembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Draftosaurus,I5,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
Dragomino,Z5,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Dragon Parks,H6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Dragondraft,Y6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Dragones de Agua,Novedades,OCT 2024,,,n,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Dragones y Gallinas,COL 3,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,
Dragons,*,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Drakkar Tum Tum,COL 7,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Drako: Enanos & Dragón,M1,,,,,,,,3,,2,1,1,1,,,1,,9,,,,,,,,,,,,,,
Drakon,*,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Dual Powers: Revolución 1917,C5,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Duck & Cover,COL 1,24 MAY 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Duelo por Cardia,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dune: Imperium,E5,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,
Dune: Secretos de las Casas,D1,25 FEB 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Dungeon Drop,COL 5,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Dungeon Fighter,L2,,,,,,,,,1,,4,,1,,,1,,7,,,,,,,,,,,,,,
Dungeon Lite: Orcs and Knights,J6,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Dungeon Raiders,*,,,,,,,,1,1,,,,1,2,,,,5,,,,,,,,,,,,,,
Dungeon Raiders 2018,COL 3,,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,
Dungeon Saga,A4,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,
Dungeon WC,COL 3,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Dungeoneer Demonios,*,,,,,,,1,3,,,,,,,,,,4,,,,,,,,,,,,,,
Dungeoneer Liche,*,,,,,,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,
DungeonQuest,B2,,,,,,,1,1,3,,,,1,,,,,6,,,,,,,,,,,,,,
Duplik,P1,,,,,,,,,,1,2,3,,,,,,6,,,,,,,,,,,,,,
Dust,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ekö,Ventas,,,,,ok,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,
El Ansia,E5,,TrujiLand,18 oct,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
El Aprendiz de Merlín,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Baile de disfraces de las mariquitas,Y5,,,,,,,,,,6,1,,,2,2,,,11,,,,,,,,,,,,,,
El Banquete de Odín,E3,,,,,,,,,,2,2,,2,,,1,1,8,,,,,,,,,,,,,,
El Capitán,E1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
El Casero,COL 5,,,,,,,,1,,1,,,,1,,,,3,,,,,,,,,,,,,,
El Castillo de la rana escaladora,Y3,,,,,,,,,,,,3,1,3,2,,1,10,,,,,,,,,,,,,,
El Castillo del Diablo,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Castillo del Terror,COL 7,,,,,,,,,,,4,3,,2,,,,9,,,,,,,,,,,,,,
El Cuco Kiko estrena nido,Y4,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,
El Curso de la Historia,COL 2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
El Desafio de los Templos,E6,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,
El Desierto Prohibido,P4,,,,,ok,14 ene,,1,,2,,3,3,2,,2,,13,,,,,,,,,,,,,,
El Enigma de los Templos,COL 2,,,,,,,,,,,,2,2,,,,,4,,,,,,,,,,,,,,
El Espía (que se perdió) ,D5,,,,,,,,,6,,2,5,6,2,,2,1,24,,,,,,,,,,,,,,
El Favor del Faraón,F1,,,,,ok,,,,2,,,,,,,,,2,,,,,,,,,,,,,,
El Foro de Trajano,H2,,,,,ok,,,,,,1,8,2,,1,,1,13,,,,,,,,,,,,,,
El Foro de Trajano: Ciudadanos Honorables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Foro de Trajano: Cartas Promo Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Frutal,Novedades,9 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Gran Libro de la Locura,D2,,,,,,,,,,3,1,1,,,,1,,6,,,,,,,,,,,,,,
El Grande 20º Aniversario,L1,,,,,ok,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
El Grande (Nueva Edición),I2,ENE 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
